:START_ID(HAPLOTYPE),:END_ID(HAPLOTYPE),:TYPE
5889,965,TOP
5889,946,TOP
5890,970,TOP
5890,923,TOP
5890,972,TOP
5891,963,TOP
5891,924,TOP
5891,966,TOP
5892,925,TOP
5893,1407,TOP
5893,1400,TOP
5893,961,TOP
5893,2258,TOP
5893,2263,TOP
5893,928,TOP
5893,2265,TOP
5893,960,TOP
5894,1006,TOP
5894,929,TOP
5895,931,TOP
5895,987,TOP
5896,932,TOP
5897,936,TOP
5898,938,TOP
5899,940,TOP
5900,942,TOP
5900,943,TOP
5901,944,TOP
5902,957,TOP
5902,945,TOP
5903,947,TOP
5904,948,TOP
5904,998,TOP
5904,1007,TOP
5904,1004,TOP
5905,949,TOP
5905,1405,TOP
5905,962,TOP
5906,950,TOP
5907,2264,TOP
5907,951,TOP
5907,1406,TOP
5907,1408,TOP
5908,967,TOP
5908,952,TOP
5909,959,TOP
5909,989,TOP
5909,954,TOP
5910,981,TOP
5910,955,TOP
5911,968,TOP
5911,991,TOP
5911,956,TOP
5912,971,TOP
5912,969,TOP
5913,993,TOP
5913,994,TOP
5913,974,TOP
5913,999,TOP
5913,1008,TOP
5913,978,TOP
5913,984,TOP
5914,990,TOP
5914,976,TOP
5915,992,TOP
5916,995,TOP
5917,4243,TOP
5917,1869,TOP
5917,996,TOP
5918,997,TOP
5919,1000,TOP
5920,1009,TOP
5921,1010,TOP
5921,1845,TOP
5921,1841,TOP
5922,1011,TOP
5923,1012,TOP
5924,1013,TOP
5924,2982,TOP
5924,1848,TOP
5925,1014,TOP
5925,1017,TOP
5926,1015,TOP
5927,1016,TOP
5928,1018,TOP
5929,1019,TOP
5929,2929,TOP
5929,2924,TOP
5930,1020,TOP
5930,3269,TOP
5930,2931,TOP
5931,3458,TOP
5931,1021,TOP
5932,1022,TOP
5932,2933,TOP
5932,1093,TOP
5933,2581,TOP
5933,3046,TOP
5933,2580,TOP
5933,2609,TOP
5933,3045,TOP
5933,1023,TOP
5934,1024,TOP
5934,1032,TOP
5935,1025,TOP
5935,1040,TOP
5936,1029,TOP
5936,1026,TOP
5937,1027,TOP
5937,1068,TOP
5938,1056,TOP
5938,1028,TOP
5938,1039,TOP
5938,1057,TOP
5939,1041,TOP
5939,1052,TOP
5939,1030,TOP
5940,1033,TOP
5940,1070,TOP
5940,1054,TOP
5940,1031,TOP
5941,1034,TOP
5942,1042,TOP
5942,1035,TOP
5942,1043,TOP
5943,1036,TOP
5944,1038,TOP
5945,1044,TOP
5946,1045,TOP
5947,1046,TOP
5948,1047,TOP
5948,1049,TOP
5949,1048,TOP
5950,1050,TOP
5951,1051,TOP
5952,1053,TOP
5953,1055,TOP
5954,1058,TOP
5955,1059,TOP
5956,1060,TOP
5956,1067,TOP
5957,1061,TOP
5958,1062,TOP
5959,1063,TOP
5960,1064,TOP
5961,1065,TOP
5962,1066,TOP
5963,1069,TOP
5964,1071,TOP
5965,1073,TOP
5966,1074,TOP
5967,1075,TOP
5968,1076,TOP
5969,1078,TOP
5970,1079,TOP
5971,1080,TOP
5972,1081,TOP
5973,1082,TOP
5974,1083,TOP
5975,1084,TOP
5976,1085,TOP
5976,1086,TOP
5977,1087,TOP
5978,1088,TOP
5979,1091,TOP
5980,1092,TOP
5981,1094,TOP
5982,1095,TOP
5983,1096,TOP
5984,1097,TOP
5985,1098,TOP
5986,1099,TOP
5987,1100,TOP
5988,1101,TOP
5989,1102,TOP
5990,1103,TOP
5991,1104,TOP
5992,1105,TOP
5993,1106,TOP
5994,1107,TOP
5995,1108,TOP
5996,1109,TOP
5997,1110,TOP
5998,1111,TOP
5999,1112,TOP
6000,1113,TOP
6001,1114,TOP
6002,1115,TOP
6003,1116,TOP
6004,1117,TOP
6005,1118,TOP
6006,1119,TOP
6007,1120,TOP
6008,1122,TOP
6008,1510,TOP
6008,1548,TOP
6009,1123,TOP
6010,1124,TOP
6011,1126,TOP
6012,1127,TOP
6013,1128,TOP
6014,3208,TOP
6014,1129,TOP
6015,1130,TOP
6016,1131,TOP
